session_id,event_index,step_id,step_type,text_id,question_number,aoi_category,aoi_code,start_offset_ms,stop_offset_ms,duration_ms
S001,1,T12_Q1,question,T12,1,source_text,A001,0,84,84
S001,2,T12_Q1,question,T12,1,unassigned,,136,190,54
S001,3,T12_Q1,question,T12,1,unassigned,,285,535,250
S001,4,T12_Q1,question,T12,1,question_or_answer,A002,582,656,74
S001,5,T12_Q1,question,T12,1,unassigned,,708,886,178
S001,6,T12_Q1,question,T12,1,question_or_answer,A003,937,1003,66
S001,7,T12_Q1,question,T12,1,question_or_answer,A004,1049,1193,144
S001,8,T12_Q1,question,T12,1,question_or_answer,A003,1255,1455,200
S001,9,T12_Q1,question,T12,1,question_or_answer,A003,1522,1589,67
S001,10,T12_Q1,question,T12,1,unassigned,,1722,2338,616
S001,11,T12_Q1,question,T12,1,unassigned,,2615,2944,329
S001,12,T12_Q1,question,T12,1,unassigned,,3008,3103,95
S001,13,T12_Q1,question,T12,1,source_text,A005,3276,3390,114
S001,14,T12_Q1,question,T12,1,source_text,A006,3478,3805,327
S001,15,T12_Q1,question,T12,1,source_text,A006,3864,4062,198
S001,16,T12_Q1,question,T12,1,unassigned,,4125,4198,73
S001,17,T12_Q1,question,T12,1,unassigned,,4245,4330,85
S001,18,T12_Q1,question,T12,1,question_or_answer,A002,4417,4481,64
S001,19,T12_Q1,question,T12,1,unassigned,,4521,4641,120
S001,20,T12_Q1,question,T12,1,unassigned,,4683,4747,64
S001,21,T12_Q1,question,T12,1,unassigned,,4789,4880,91
S001,22,T12_Q1,question,T12,1,unassigned,,4921,4983,62
S001,23,T12_Q1,question,T12,1,unassigned,,5025,5261,236
S001,24,T12_Q1,question,T12,1,unassigned,,5309,5376,67
S001,25,T12_Q1,question,T12,1,unassigned,,5423,5958,535
S001,26,T12_Q1,question,T12,1,unassigned,,6004,6595,591
S001,27,T12_Q1,question,T12,1,unassigned,,6639,6742,103
S001,28,T12_Q1,question,T12,1,unassigned,,6783,6845,62
S001,29,T12_Q1,question,T12,1,unassigned,,6890,7118,228
S001,30,T12_Q1,question,T12,1,unassigned,,7165,7815,650
S001,31,T12_Q1,question,T12,1,unassigned,,7863,8066,203
S001,32,T12_Q1,question,T12,1,unassigned,,8132,8342,210
S001,33,T12_Q1,question,T12,1,unassigned,,8383,8467,84
S001,34,T12_Q1,question,T12,1,unassigned,,8526,8920,394
S001,35,T12_Q1,question,T12,1,question_or_answer,A007,8982,9098,116
S001,36,T12_Q1,question,T12,1,unassigned,,9142,9258,116
S001,37,T12_Q1,question,T12,1,unassigned,,9306,9562,256
S001,38,T12_Q1,question,T12,1,unassigned,,9623,9998,375
S001,39,T12_Q1,question,T12,1,unassigned,,10040,10106,66
S001,40,T12_Q1,question,T12,1,question_or_answer,A007,10149,10246,97
S001,41,T12_Q1,question,T12,1,question_or_answer,A007,10296,10381,85
S001,42,T12_Q1,question,T12,1,unassigned,,10430,10496,66
